OrganizationUUID,Organization,Address,City,State,Country,Zip,Latitude,Longitude,Website,Email,Phone
bf0d7042-1eff-40a3-b27c-82b5ea89b470,Abdorrahman Boroumand Center for Human Rights in Iran (ABC),"1300 19th St NW, Suite 550, Washington, D.C., 20036, USA",Tehran,Tehran,Iran,11369,38.9047,-77.0417,abc.org,info@abdorrahman.org,(647) 330-1806
0d60588c-c8b6-47c3-b81d-d09e6333292b,Action on Armed Violence (AOAV),"112 Cavell Street, London, E1 2JA, UK",London,England,United Kingdom,EC1A 1BB,51.5074,-0.1278,aoav.org.uk,info@aoav.org.uk,(481) 668-1049
352dc119-4f49-4c9c-8366-8bfddbd001e0,Afghanistan Independent Human Rights Commission,"Sarai Shahzada, Kabul, Afghanistan",Kabul,Kabul,Afghanistan,1001,34.5553,69.2075,aihrc.org.af,info@aihrc.org.af,(926) 568-3403
fe1790ac-5c01-4a26-a680-d10e266b1adb,Airwars,"17 Beak Street, London, W1F 9RW, UK",Edinburgh,Scotland,United Kingdom,EH1 1BB,51.5074,-0.1278,airwars.org,info@airwars.org,(236) 846-1738
01502d8c-90bd-48c2-b5c6-f636295ec868,Amhara Association of America (AAA),"1025 Connecticut Ave NW, Suite 1000, Washington, D.C., 20036, USA",Los Angeles,California,United States,90001,38.9047,-77.0417,amaaaa.org,info@amaaaa.org,(265) 328-9417
df310dde-a77b-4f72-b73e-690b17a95362,B?Tselem,"PO Box 53132, Jerusalem 915310, Israel",Tel Aviv,Tel Aviv,Israel,61000,31.7683,35.2137,btselem.org,info@btselem.org,(732) 480-5703
67fa40d5-697c-4955-a5f4-ed44788805dd,"Centre for Border Studies, Jindal School of International Affairs","Sonipat, Haryana 131001, India",Mumbai,Maharashtra,India,400001,28.9959,77.019,jgu.edu.in,borderstudies@jgu.edu.in,(380) 720-1959
c742481e-f2ff-4353-8a6a-07afbdc5d224,Centre for Research in Anthropology and Human Sciences (CRASH),"Rua S?o Sebasti?o da Pedreira 81, 1050-217 Lisbon, Portugal",Bangalore,Karnataka,India,560001,38.7223,-9.1393,crash.pt,info@crash.pt,(764) 525-5268
010d27b2-2368-41bb-b70c-bfdef26f6554,Civilian Impact Monitoring Project,"Al-Qasr Street, Sana'a, Yemen",Cardiff,Wales,United Kingdom,CF10 1AA,15.3694,44.191,civilians.org,info@civilians.org,(504) 337-4704
3804ee55-4918-4197-83b4-c095674be08e,"Collectif D?fenseurs Plus, Haiti","25, Rue Mgr. Guilloux, Port-au-Prince, Haiti",Port-au-Prince,Ouest,Haiti,HT6110,18.5944,-72.3074,defenseursplus.org,info@defenseursplus.org,(620) 907-7948
e57d0431-74a5-4712-8f0c-8c2833f31c48,Colombian Campaign Against Landmines,"Carrera 5 No. 14-74, Bogot?, Colombia",Bogot?,Bogot?,Colombia,110111,4.711,-74.0721,colombianlandmines.org,info@colombianlandmines.org,(951) 211-4017
e738bf57-4049-4442-a896-4f4dbb00b9f4,Conflict Analysis Resource Centre (CERAC),"Calle 98 No. 22-64, Bogot?, Colombia",Medell?n,Antioquia,Colombia,50001,4.711,-74.0721,cerac.org.co,info@cerac.org.co,(772) 407-4072
0a11061a-0bcb-473d-b9cb-ee4f51419902,Crisis Tracker / Invisible Children,"3220 S. Hoover St, Los Angeles, CA 90007, USA",New York City,New York,United States,10001,38.9047,-77.0417,invisiblechildren.com,info@invisiblechildren.com,(419) 276-7420
474305d7-02d0-47e9-b89a-eb06d7d73a12,Daryeel Human Rights Organization (DHRO),"Hargeisa, Somaliland, Somalia",Mogadishu,Banaadir,Somalia,1000,9.5624,44.0775,dhro.org,info@dhro.org,(913) 607-6571
5f59c5ac-3b35-4785-b03d-7be1db3b8318,Documenta,"Bo_kovi_eva 1, 10000 Zagreb, Croatia",Guadalajara,Jalisco,Mexico,44100,45.815,15.9819,documenta.hr,info@documenta.hr,(564) 807-9720
1641436e-fe53-4ec1-b684-67b204e21299,Elman Peace,"Mogadishu, Somalia",Garowe,Puntland,Somalia,7050,2.0469,45.3182,elmanpeace.org,info@elmanpeace.org,(207) 655-9517
b00b555a-fcad-43e5-9c75-0e6bad559362,Eyzidi Organization for Documentation,"Duhok, Iraq",Munich,Bavaria,Germany,80331,36.8665,43.0002,eyzidi.org,info@eyzidi.org,(609) 276-8959
f825ad0c-ff3e-4809-88bc-23e5b4793a7f,Ghent University,"Sint-Pietersnieuwstraat 25, 9000 Ghent, Belgium",Antwerp,Flanders,Belgium,2000,51.0543,3.7174,ugent.be,info@ugent.be,(816) 324-5408
863761ad-46a2-43f5-b425-c241789b0ba0,Guatemala Forensic Anthropology Foundation (FAFG),"3a. Avenida 8-47, Zona 1, Guatemala City, Guatemala",Guatemala City,Guatemala City,Guatemala,1001,14.6349,-90.5069,fafg.org,info@fafg.org,(743) 561-1605
78be4155-5e6e-4653-bad3-d400a2117455,Hakikat Adalet Hafiza Merkezi,"Istanbul, Turkey",Istanbul,Istanbul,Turkey,34000,41.0082,28.9784,hakikatadalet.org,info@hakikatadalet.org,(276) 401-3902
303ce352-52f0-430b-b884-d0df69ce8dc4,"Humanitarian Law Centre, Kosovo","Bulevardi N?n? Tereza 33, 10000 Pristina, Kosovo",Ankara,Ankara,Turkey,6000,42.6629,21.1655,hlc-kosovo.org,info@hlc-kosovo.org,(817) 845-6243
b801af2b-9efe-4f85-bbc2-a65bfbe0d63a,"Humanitarian Law Centre, Serbia","Kralja Petra 2, 11000 Belgrade, Serbia",Pristina,Pristina,Kosovo,10000,44.7866,20.4489,hlc-rdc.org,info@hlc-rdc.org,(305) 208-0816
70b3733a-10be-4fd3-914b-bb5a9afbc4ea,Humanitarian Outcomes,"7-14 Great Dover Street, London, SE1 4YR, UK",Belgrade,Belgrade,Serbia,11000,51.5074,-0.1278,humanitarianoutcomes.org,info@humanitarianoutcomes.org,(469) 434-6581
31466f2c-1741-4f02-98e8-4989392a7d0d,Humanity and Inclusion (HI),"14 Avenue Berthelot, 69007 Lyon, France",Belfast,Northern Ireland,United Kingdom,BT1 1AA,45.764,4.8357,handicap-international.org,info@handicap-international.org,(585) 688-3547
bdcd7a4a-91a8-4e2b-82e6-93c9d0ded5ea,Iniskoy for Peace and Democracy Organisation,"Mogadishu, Somalia",Paris,?le-de-France,France,75001,2.0469,45.3182,iniskoy.org,info@iniskoy.org,(406) 550-1243
361d2ff0-9772-4d7d-b99d-2d344d9c6e12,INSAN,"Beirut, Lebanon",Damascus,Damascus,Syria,1000,33.8938,35.5018,insanlebanon.org,info@insanlebanon.org,(619) 607-7034
af40179a-567f-4003-9dae-0eef9f93192b,INSEC,"GPO Box 2722, Kathmandu, Nepal",Chennai,Tamil Nadu,India,600001,27.7172,85.324,insec.org.np,info@insec.org.np,(318) 759-8524
27bbc070-e93f-4c01-81f7-eef6f125963b,Insecurity Insight,"Geneva, Switzerland",Kathmandu,Kathmandu,Nepal,44600,46.2044,6.1432,insecurityinsight.org,info@insecurityinsight.org,(351) 282-6738
7301d916-f902-4825-8adc-ede99c2755c4,International Commission on Missing Persons (ICMP),"Prinsengracht 20, 1015 DV Amsterdam, Netherlands",Zurich,Zurich,Switzerland,8001,52.0705,4.3007,icmp.int,info@icmp.int,(708) 407-2641
