OrganizationUUID,Organization,Address,City,State,Country,State,Zip,Latitude,Longitude,Website,Email,Phone
e90393c4-4023-401e-8792-ff60d33a22e2,United States Central Command (USCENTCOM),,Tampa,"MacDill Air Force Base, FL, USA",United States,"MacDill Air Force Base, FL, USA",33621-51011,27.8495,-82.5225,AquaExplorer.com,mif1je74@example.com,+1 813-827-6115
c9785e09-756d-436c-9e05-437ec8854a08,United States European Command (USEUCOM),,Stuttgart,"Patch Barracks, Stuttgart, DE",United States,"Patch Barracks, Stuttgart, DE",90941,48.7423,9.1068,ByteBistro.net,4grztq5z@yahoo.com,+49 711 680-1137
dd630921-fbf6-4251-96aa-a5061129c2e3,United States Indo-Pacific Command (USINDOPACOM),,Aiea,"Camp H.M. Smith, HI, USA",United States,"Camp H.M. Smith, HI, USA",96860-50001,21.3837,-157.9175,CloudCanvas.org,9s8gbxqf@outlook.com,+1 808-477-2324
1d7f3c4f-de6e-4b1e-a148-e33ca9d1e66f,United States Northern Command (USNORTHCOM),,Colorado Springs,"Peterson Space Force Base, CO, USA",United States,"Peterson Space Force Base, CO, USA",80914-38041,38.8264,-104.7077,DigitalDawn.io,r2u35lyg@yahoo.com,+1 719-554-6889
f6f341d2-11ef-4d16-a2d8-808abff97aff,United States Southern Command (USSOUTHCOM),,Doral,"Doral, FL, USA",United States,"Doral, FL, USA",331721,25.7774,-80.3467,EchoEmpire.biz,848qho0y@yahoo.com,+1 305-437-1213
909714a0-7b85-42f8-968f-a6b579b7167c,United States Africa Command (USAFRICOM),,Stuttgart,"Kelley Barracks, Stuttgart, DE",United States,"Kelley Barracks, Stuttgart, DE",96301,48.7211,9.1708,FloraFrontier.com,8kjvwh2j@yahoo.com,+49 711 729-4484
504086b6-6d7d-429b-aab3-e322760d501c,United States Space Command (USSPACECOM),,Colorado Springs,"Peterson Space Force Base, CO, USA",United States,"Peterson Space Force Base, CO, USA",80914-38041,38.8264,-104.7077,GlowGarden.net,228269bt@yahoo.com,+1 719-554-3478
e9e8343f-7a40-4818-9e68-19131065bfac,United States Cyber Command (USCYBERCOM),,Fort Meade,"Fort George G. Meade, MD, USA",United States,"Fort George G. Meade, MD, USA",20755-60181,39.1095,-76.7423,HorizonHaven.org,vfb45ydj@example.com,+1 301-688-6524
cdc3ca52-d14d-4e82-a4f5-f65d1a830d9e,The Pentagon,,Arlington,"Arlington, VA, USA",United States,"Arlington, VA, USA",20301-14001,38.8719,-77.0563,InfiniteInsight.io,y5picbk7@yahoo.com,+1 703-545-6700
412613bb-7d61-4d2c-a7de-3a802d23e362,Civilian Protection Center of Excellence (CPCOE),,N/A,Not established,United States,Not established,20340-51001,N/A,N/A,JourneyJunction.biz,01o7yuy8@example.com,N/A
27a49af8-6ecd-4cad-9efe-67ab4be131b3,Defense Intelligence Agency (DIA),,"Washington, D.C.","Joint Base Anacostia-Bolling, DC, USA",United States,"Joint Base Anacostia-Bolling, DC, USA",22150-75001,38.8656,-77.0164,KaleidoKey.com,br4x2k6p@example.com,+1 202-231-5554
